x,y,RockType
4.182896,44.879462,Felsic
4.186929,44.879004,Felsic
4.190398,44.878204,Felsic
4.193059,44.876547,Mafic
4.158441,44.890846,Felsic
4.16207,44.890846,Felsic
4.166184,44.889474,Felsic
4.167878,44.892617,Felsic
4.169088,44.892731,Felsic
4.174814,44.885645,Felsic
4.172879,44.88616,Felsic
4.17433,44.886388,Felsic
4.174411,44.88456,Felsic
